V1;E1;S2;S1;5;;2026-05-27T16:04:58.195562206
V2;E1;S1;S2;5;;2026-05-27T16:04:58.195579894
V3;E2;S1;S2;5;Ricky è il migliore in assoluto!;2026-05-27T16:04:58.195585790
V4;E3;S1;S2;5;Come al solito, non potrei chiedere di meglio!;2026-05-27T16:04:58.195590176
V5;E4;S1;S2;5;Ottimo studente!;2026-05-27T16:04:58.195594842
V6;E2;S2;S1;5;Ottimo!;2026-05-27T16:04:58.195598029
V7;E3;S2;S1;5;Ottimo!;2026-05-27T16:04:58.195601828
V8;E4;S2;S1;5;Ottimo!;2026-05-27T16:04:58.195604541
V9;E5;S2;S1;5;eccellente;2026-05-27T16:04:58.195607254
V10;E8;S1;S2;1;tutto, veramente eccellente|;2026-05-27T16:04:58.195610167
V11;E9;S1;S2;2;asdasd;2026-05-27T16:05:15.940842787
V12;E11;S1;S2;5;ottimo!;2026-05-27T16:08:09.633716161
