E1;O2;R2;COMPLETED;2026-05-27T16:04:58.191117238;2026-05-27T16:04:58.191162320
E2;O1;R3;COMPLETED;2026-05-27T16:04:58.191171694;2026-05-27T16:04:58.191174898
E3;O1;R1;COMPLETED;2026-05-27T16:04:58.191179118;2026-05-27T16:04:58.191183294
E4;O3;R2;COMPLETED;2026-05-27T16:04:58.191186733;2026-05-27T16:04:58.191188967
E5;O9;R1;COMPLETED;2026-05-27T16:04:58.191191855;2026-05-27T16:04:58.191193875
E6;O8;R6;COMPLETED;2026-05-27T16:04:58.191196691;2026-05-27T16:04:58.191198722
E7;O5;R7;CANCELLED;2026-05-27T16:04:58.191202411;2026-05-27T16:06:47.535525007
E8;O10;R6;COMPLETED;2026-05-27T16:04:58.191207644;2026-05-27T16:04:58.191209665
E9;O4;R6;COMPLETED;2026-05-27T16:04:58.191212431;2026-05-27T16:04:58.191214398
E10;O5;R7;CANCELLED;2026-05-27T16:07:22.099833298;2026-05-27T16:08:16.461470791
E11;O6;R2;COMPLETED;2026-05-27T16:07:41.366014074;2026-05-27T16:08:02.232306564
E12;O5;R7;PROPOSED;2026-05-27T16:08:56.956322327;
E13;O5;R2;PROPOSED;2026-05-27T16:09:41.317517500;
E14;O7;R2;PROPOSED;2026-05-27T16:09:45.595816069;
E15;O11;R6;PROPOSED;2026-05-27T16:09:47.699204718;
